Emotion_value,Text_data
sadness,suddenly felt statesmen feel mobbed press doomed men feel right lynched stoned mob
sadness,go feeling foolish many times
sadness,contend acceptance bow culture requires christians today feel shamed new morality
joy,hope enjoyed viewing feel free leave comment
sadness,thought best child pediatrician made feel like neglectful mom
joy,feel calm routine rinse wash detergent rinse take outside line dry
sadness,small history hiding feel awkward
joy,wrong feel overly optimistic crossfit workout
joy,feel graceful today
anger,imagine newly developed tendency realization made things much harder years leaves feeling mad
sadness,cant give wanted feel aching heart sweaty palms sleep deprived addled brain
joy,feel want carefree left inside emtyness
joy,havent feeling well lately
sadness,feel labors vain see expected results efforts
sadness,im weary feel burdened could definitely use rest
joy,could feel saw smelt delicious
sadness,feel regretful let mundane things work school get way
sadness,find confused feel pain pain becomes resigned understanding warm memory beautiful girl locked away one ruin taint
sadness,feel like pathetic selfish unbelievably lazy want find new job old one annoying much describe
sadness,made feel embarrassed injuries circle horse friends supported
sadness,think tell feel moment see looking something dumb
anger,basically feeling bit grumpy time coz hungry
anger,feel mad whats
anger,never thought id feel much jot sympathy hussein always viewed jumped petty thug whatever thoughts may actions administration
sadness,feeling bit low weeks back focused things werent right life moment requests made hadnt granted
sadness,watch dramas order feel like mood isolated incident
anger,thought breaking best friend years would make bitter feel hateful towards
sadness,open eyes shes gone cant help feel alone
sadness,idea feeling unimportant beyond upset honest feelings
sadness,cant anything except feel devastated cant anything practical yet
joy,feel blessings thankful
fear,feel nervous anyone gets close
joy,feel special joy elevation post
fear,look hot get leers make feel like might get assaulted
sadness,would feel awkward someone tells feelings towards
joy,receiving end every one know firsthand make feel plenty people many strangers street convinced must know mom somewhere surely know
joy,feel cool wings brush face walk across outstretched hand
sadness,often feel everything around vain purposeless
sadness,love dont get wrong dont want keep feeling lame whilst learn
anger,im feeling really really left somewhat dissatisfied everything
joy,dont know feel joyful people went blog today saw one entries
joy,generally use icon im feeling playful childish fairly large percentage time
joy,im feeling real casual day ill go brown eyeliner instead
joy,relaxed nodded feeling assured someone love safe pampered even longer
joy,venture back north big day feeling festive
sadness,know desire spend life feeling discontent seek solution problem
fear,lot uncaring men life still feels strange several call come reach weakest moments
sadness,feeling bit pathetic sorry
joy,upset last days ok clouds clearing feeling positive
fear,think feel flushing alarmed headache medicine causes sometimes
sadness,feel trying hurt
joy,feel better dont little bit
fear,came china feeling little frightened everything around
sadness,usually take protein start feel lethargic
sadness,feel guilty may affect supply go back routine diligently
sadness,say body doesnt feel deprived isnt deprived nutrition
anger,difficult time allowing people nice things without feeling either insulted like debt
sadness,feel horrible even depressed try fake positivity
joy,feel california democrats little smug safely liberal districts lend much value added serious debate usually find less offensive
joy,underlined make feel whenever hear referring especially precious child feel wonderful
fear,really expecting somehow made feel shy part
sadness,feel disheartened today
sadness,want feel discouraged looking gain
joy,feeling generous time answer questions
anger,feel less bothered things happening around
fear,still feel vulnerable hurt manageable
joy,bought eggs feeling adventurous also got whole chicken oxtail
joy,allowed people tonight make feel though far less superior felt less attractive less popular less able part community
sadness,brave express feelings tomoe despite rejected
joy,felt happy received letter telling admitted university
sadness,feel bit jaded weary world
fear,guess feel insecure anxious
joy,still need brush teeth already taken pills showered eaten breakfast feeling virtuous moment two
joy,feel imprinted brain vital stress college community
fear,im feeling overwhelmed college everything else happened semester
joy,feel privileged selected fund receive support
sadness,wish didnt feel way wear heart sleeve believe things say arent vain believe theyre true
sadness,panicked feel nails broke impenetrable wall ice leaving red crescents blood welling sensitive skin
joy,feel much relieved happy quickly finished small scissor fob
anger,im totally feeling bitchy resentful
sadness,feel awkward grown child time try place shoes realize would child matter age
fear,know believe feel part still hesitant old would said anyone believed god crazy
anger,feel bit selfish
anger,feel bothered fact us given many chances see least bit appreciation utter gratefulness downright souls
sadness,feel like aching summer come slipping away fast doesnt always
anger,didnt feel angry didnt feel bitter felt
sadness,feel discouraged even little sad cause havet long term relationship
sadness,always feel dirty used
sadness,feel ugly smile look eye know love still love
joy,feel contented happy upon seeing
fear,could feel warmth strange stillness comforted
sadness,days prefer submissive simple life feel days submissive best please seems happy enough two years
sadness,im feeling dull bored
sadness,worried starting feel pretty dumb even knowing basics
fear,feel like lot people intimidated false lashes seems like largely unnecessary process makeup routine
fear,going able sleep knew ended mostly another thing even going talk makes angry also feel horribly neurotic immature getting upset gloss bit
sadness,im feeling particularly melancholy talk place peace
joy,feel delighted showcase journey
joy,get frustrated fact always feel appreciative hand dealt people love life
anger,sat dark room minutes trying figure feel offended whether heed advice
sadness,feel fake sharing joyful creative pursuits family
joy,felt real life feeling comes successful adventure etc
fear,burst feeling shaken pretty sure hit bird
sadness,like good challenge expense feeling humiliated
fear,spend obsessing decisions feeling anxious
sadness,feel horrible accomplishing something
sadness,im still contagious desperately wanting cuddle id feel rotten let selfish physical wants get sick
joy,could feel julia hesitate yet convinced talk woman
sadness,feel ugly disgusted like pig
joy,wound something lodged oesophagus feel pleasant put lightly
joy,feel lack respect love space harder partying personally comfortable
joy,feeling quite clever point even drop wine
sadness,know feelings kinda numb pathetic full sorrow useless thing called love
joy,feeling pretty fabulous means pain past three days
sadness,love feeling aching oh insipid things called front sides calves muscles love fantasy day soon featured sports illustrated swimsuit model year maybe make special issue baby boomers
fear,feel like im strange place life one take care one cares
sadness,end feeling devastated borne social monster
joy,still feel like butt thank gracious
joy,feel triumphant even thought may fleeting moment enjoying power motherhood
anger,cant sleep read happy posts go past one picnic day get happy im like james make happy love repeat soon feel jealous
anger,feel resentful irritable
anger,want sending crap feel almost insulted win embarrassed whoever made like oregon
fear,tossing turning feeling anxious fact work felt needed done
anger,feeling completely irritated right idea maybe usually getting home school last hour god awful videos imposed time
joy,im feeling really good know im getting stronger also waking early working hard almost every morning
sadness,feel disappointed
sadness,im beginning feel isolated work place dont attribute blame anyone anything
anger,hope condescending attitude allow present feel offended remember amount sunlight affects plant growth
joy,always dreamed good feeling fantastic feeling able give
fear,feel nervous trying something new lesson horse shies something
anger,feel like trust though seeing understand women bitchy neither us want deal shit
sadness,feel dirty unamerican french
joy,feel like could go detention school couple days everything would ok
anger,im good hiding true feelings blurting sarcastic tones
sadness,think feel little ashamed ive blogging regularly year hasnt much struggle
joy,get feeling confidence far pleasant alternatives certainly someone increasing confidence feel first take action
fear,know certain aspects personality attitude could improved impression everythings fine feel absolutely assaulted statement co workers complaining behind back
anger,ive feeling bothered lately
fear,feel insecure figt
anger,still try force even feeling irritable withdrawn quiet time
joy,feeling song delighted emergence
fear,im still feeling intimidated feel like actually something say
anger,feel irritated lot
joy,runner probably would really feel far safe title
anger,would hurt others feelings selfish
anger,got feeling give got feeling get away becuz cuz dangerous oh badman ah
anger,feel rude going bathroom
anger,remember cammie couple months old looking sweet innocent face sobbing thinking going school thought someone would hurt feelings unkind unfair thought teacher might mean love
fear,combine flat tire head wound headless bird im feeling little paranoid
joy,feel students successful classroom
joy,feel privileged share love five lovely students
sadness,know feel disheartened league many draws mark tightly contested competitive organization important results
fear,thinking certain person sleep end strange dreams wake dreams feel shaken stunned
sadness,feel horrible want cry
sadness,feel perverse
sadness,felt shrinking feeling horrible
joy,feel invigorated even though caffeine free
sadness,always feel kinda sad authority figures eventually show scene squeeze risky fun play time
sadness,find buying reacting conflicts modern life feeling jaded
joy,dunno else describe great feel swear ive giggly day
anger,feel im bothered
anger,irritable went million one ideas feeling like bothered feeling inspired feeling obligated
joy,feel like im going way successful writer
fear,liked feeling scared jumping seat grabbing arm preferably male companion
sadness,im feeling little less disheartened
joy,feeling much trusting god varies enormously
joy,feel like thats useful fun replace exotic icons destroyer
anger,feel heartless cold bitch
sadness,feel look little awkward
joy,go supermarket feel tomatoes hope life imitates art cute guy ask
fear,ive feeling bit pressured theres little time left two books
fear,feel anxious quite time fact
joy,feel pretty virtuous actually
sadness,shouldnt make put spot makes feel awkward
anger,personally feel little offended put millennia brainstorming particular three vices
joy,unexpected sum money
anger,wasnt feeling mad god angry allowing happen sad
sadness,tend pretend understand someone says even dont fully understand dont want feel embarrassed seem like im know
joy,want feel carefree one last day
joy,feel like finally entered accepted entered mother part life
sadness,feel humiliated annoying little college student takes causes pesters everyone
sadness,left feeling completely disillusioned little cautious contractual interactions vietnamese people
sadness,confession make feel rotten
anger,im feeling bit greedy
sadness,never feel alone bare soul friend best understand unbreakable barrier
joy,might buying stuff feel clothes casual
anger,feel really petty immature dont want cheat greg end breaking fighting stupid little things
joy,feel pretty lucky able experience way
joy,feel lucky simply known life proud dad
anger,feel really effecting attitude toward feel bitter angry
joy,could hardly feel legs yet eager get stuffy plane quickly get customs
joy,feeling incredibly thankful family
sadness,feel word quite dirty word sexual intercourse used wrongly
sadness,feeling little groggy morning mention headache
anger,feeling grumpy irritated
joy,feel arsenal could clearly superior
fear,im still feeling little shaky write post
sadness,im tired feeling hopeless
sadness,drop people using problem certainly assert children asking nik leave early easy day im feeling weepy want hug
anger,feel rebellious even
fear,feeling like might look little suspicious go home dont meet
fear,feel bit tortured right
anger,feel like every day blur running irritated son something pertaining making dinn
anger,hate feeling like im always getting mad reason feeling lonely
joy,feel intensely intelligent dog socializing need
anger,feeling frustrated tired today
anger,im feeling slightly irritable generally level headed actually bad mood
fear,feel bit timid using blog know classmates even complete strangers able read
joy,feel see jolly time hunt england like roam around england looking pretty doors old pubs talking british accent cards tickled fancy
anger,get sort tunnel vision heart rate increases cant feel arms legs cant hear thing dangerous side effects meant cant hear stop whistle injured opponent thus lead tournament disqualifications fines
anger,feel see always possibility someone might laugh feel disgusted easier express feelings story boyfriend
joy,speak others know feel successful prettiest version walk starbucks red cup holiday cup hand
sadness,could feel moving slower generally lethargic last ride trail
fear,wonder pick stress im feeling im trying feed terrified getting bitten shes feeding much
joy,still feeling effects marathon sex julie looked amazing
joy,feel confident ive put time done everything possible win decision hands
sadness,feeling miserable serioulsy
sadness,feel humiliated spending days planning beautiful wedding calling texting taking girl fucking
anger,like moving long lead time feeling rushed
joy,went see jreyez back may havent feeling like going jenny convinced go time amp persuasion decided go lol
sadness,feel pathetic shouldnt make feel way
sadness,feel hopeless know control people desire want know way soul burns know
sadness,im feeling oddly sentimental today
joy,feel invigorated jolly
fear,feeling restless stepped kitchen whip crunchy sweet treat
joy,feel proud girls accomplishments morning
fear,normally better avoiding expensive pre packaged products go waitrose still feeling bit shaken parking issues bought extra bits calm nerves
anger,feeling spiteful brought saw hurt face
fear,getting back results test school
anger,feel like cranky old man saying goes
joy,absolutely exercise however sticking literally sitting around feel need supporting thoughts
sadness,used feel isolated far north scotland social media internet becomes encompassing links others becomes easier chance part live discussion participate relevant cutting edge debate changes happen amazing
joy,feeling make worthwhile loving daddy let feed breakfast snuggled chair spencer played walking officially grandparents arms smile face
fear,hate asking feel reluctant tries kiss
sadness,fortunate feel pain suffering endured
joy,longer shimmer fan mean like subtle shimmer kind like scary shimmer feel like eyes super obvious scary looking
sadness,know feeling discouraged cynical
joy,feel even determined educate self breast exams get yearly check ups save life
joy,feel lucky get feel
joy,definitely write transition go right feeling quite positive
joy,still think shes insensitive feelings glad im shoes
sadness,feel totally awful end going whole nightmarish surgery feeling good around corner
anger,constantly feel lied wronged love people death
joy,feel like possibility statements like make supporting interests problematic
sadness,find consolation beauty small things sometimes enough feel stupid trying
joy,feel somewhat successful peeking service whole time
sadness,suppose fairly normal feel doomed life shit around
joy,feel inspired experience sort heightened situation
sadness,feel doomed repeat endlessly whole life
joy,im feeling happy thankful today
sadness,bunch friends im grateful squad mates teammates theres another bunch people made feel worthless everything try seems forced conversations seems like forcing words everything else
fear,feel like im sinking feel helpless makes even frustrated
sadness,feel depressed even short tempered days
sadness,feel useless stupid
sadness,feel humiliated also even turned
sadness,always feel kind thing empty feeling
joy,feel cool sand back
fear,feel never really told much guess scared havent got anything loose
sadness,feel sad today like legitimately bummed
joy,waited hold precious boy arms get feel sweet skin mine birth could rub soft hair look beautiful eyes god plan
sadness,feel suffering several related factors regarding treatment acne less likely remove scars left behind proving diet extract
sadness,gay began feel disturbed embarrassed
joy,feel like together im glad
anger,feel distracted people think overreacted
anger,junior doctors returned work bunking
sadness,watch snow man feel getting weepy already
fear,feel afraid voice im guest
joy,sure many nervous times ahead today feel hopeful im going enjoy feeling long sticks around
sadness,stop feeling lousy
sadness,feel gloomy depressed nothing calculated cast cloud us rainy day
joy,feel like vital keep someday list active
sadness,forgive accepting allowing feel humiliated rejected someone chosen
fear,cant help feel little bit agitated
joy,finish lesson although happy feel good feel worth
joy,feel energetic cook something special decide prepare least one dish posto days simply dont remain mood cooking look posto
sadness,still feeling troubled
sadness,feel stupid realizing going sooner
joy,feel kind sincere connection everyone talk im working
anger,know mom would take look facebook profile feel envious fun seem friends carefree state life responsible pick time go away weekend
sadness,im feeling jaded
joy,ive waking automatically thinking portugu also lately feels fantastic
joy,feel accepted well know exceptions rule like belong
fear,feel less threatened world
fear,cant even explain difficult tear away something love feel doubtful
joy,im super pumped crossed nano finish line novel far finished im feeling optimistic
joy,feel pretty passionate helping people
joy,feel valued patients
fear,feel scared father suddenly opens door
sadness,feel sad levi certainly wont want run race typical peers theres way hell win
sadness,feel like fact abused
sadness,feel awful enough call exhausted
joy,said im beat feeling creative one hell day
anger,found someone knew someone else taking tests
joy,feel near flawless film
anger,feel hearts treading dangerous territory
joy,generally use practice shoes party feeling casual
sadness,feel ungrateful things regularly sin daily everyday living
joy,im tired heavy time familiar feeling though pleasant one
sadness,keep finding people make feel terrible life
sadness,supposed go strong feel inhibited
anger,horrible articulating feelings particularly verbally sometimes cant even remember incidents mad something
sadness,sure hope feel isolated without contact home
sadness,make mistake cringe feel idiotic become filled self loathing
sadness,feel like fake fraud hypocrite
sadness,hate making feel unimportant
sadness,definitely seen felt many blessings heavenly father especially days things feel gloomy lonely mike away working hard future
sadness,feel fake
sadness,italy feel useless could possibly feel need occupy time get crazy
anger,feel like theyre rude first place long arent snappy every right ask touch
sadness,good sleep believe still woke feeling groggy sorts
joy,im feeling well right ill write day
joy,feeling adventurous ill definitely go visit bayou swamp areas enjoy beautiful cypress trees wildlife
sadness,feel bit lost today
sadness,feeling ever homesick
fear,currently feel like crap least show face work lest get suspicious ringing sick day holidays
fear,feel tortured much
joy,describe wonderful close eyes remember cool feel mouth rich creaminess lightness
joy,feel like time come fearless rescue everyone made master
anger,im feeling angry kind sad tired bored today
joy,im feeling hopeful grateful
joy,always dread end leaving feeling positive
joy,see woman sitting alone table starbucks restaurant feeling playful come observation something say based moment sit say
sadness,speaking lot well feel discontent life
sadness,feeling kinda disappointed actually silently wishing still unpaved
joy,woke feeling fabulous im sure half stems fact ill finishing undergraduate studies weeks
joy,started feeling job worthwhile
anger,write many entries humanly possible one day still feeling dissatisfied write everything wanted fact complain time lonely
sadness,feel bad listing movies becasue like much
sadness,ticket stubs going way back every feeling kinda sentimental open box go ticket stubs remind good times stadiums around country
sadness,feel really burdened days challenge
sadness,feel like unhappy missing much baby anything else quit
sadness,feel gloomy
fear,currently even right without feeling indecisive tied school writing assignments
sadness,read listen music various things feeling unhappy
joy,feeling adventurous quite age
sadness,tired tired feeling beaten
sadness,know ken im feeling really inadequate wrong
fear,feel reluctant leave alone like without helping enough repay goodness
sadness,feel though broke plane ill aware use faith wish gone
fear,feel like could gotten apprehensive reason
sadness,feel like pay fee broke heart
sadness,times feel utterly useless undeserving magnificent woman life
sadness,really thought ok things crying feeling empty sorry shame
sadness,struggle feeling low amp agitated
fear,guess good friend allow go life feeling distressed confused
fear,spew desperation situations already feel uncertain
anger,ask wife annulment case feels irritated kept telling process
fear,im trying intuitive often makes feel sort confused nauseous
joy,need feel like people love im convinced believe people capacity
anger,able shake akward unusual feeling feel irritable space time feels like surged well computer
sadness,feel hopeless well really scared
anger,know feeling powerlessness control sends mad tizzy haagen dazs
joy,feel honoured teamed jim first met ten years ago
anger,im feeling less hateful fandom
sadness,good idea post feeling low write
joy,think freedom make plans another person time feel content
joy,feeling pretty crampy
joy,spontaneously come new tune taking solo feel creative flow going knowing going play next surprising answers indisputably
sadness,asked often situations could fix wouldnt feel like hated lack postings facebook page
sadness,slapped feelings dumb
joy,think whimsical pop art feel place appeals artistic sensibilities
sadness,feel unwelcome uncomfortable oh except time pulled doorknob right cloest door
sadness,personally well feel lethargic energy
anger,brought privately couple weeks ago felt targeted feeling frustrated belittled
sadness,still feel like deserve punished things would instantly forgive strangers
sadness,feel foolish ashamed
anger,growled began feel extremely annoyed
anger,walking around feeling pissed world lately
joy,feeling really hopeful could fall pregnant soon really wait day come
anger,building angie feeling profoundly betrayed angry
fear,im feeling weird
anger,ive taking stop bleeding guts left feeling far irritable violent usual
fear,feel like earthquake also shaken foundations life work
sadness,feel could left entirely smack bit empty promotion self congratulation one finds real meat information precious information indeed
anger,something make feel bothered
joy,love cuddles make feel safe protected
sadness,need know pain feel vain better brighter day future
fear,know feel confused
sadness,feel submissive
sadness,start feel muscles aching break cold sweat
joy,pray look next phone time feel anxiety levels getting superior
sadness,dont really know im bothering homework get feeling vain
fear,spent last weeks feeling sort uncertain
fear,im feeling frantic ive sleep
sadness,kind feel like im losing part lame say
joy,know crappy day feel productive feel lousy sleepy evening
sadness,feel unwelcome
joy,keep another writer spending four years get point feeling like publish work accepted readers truly accomplished goal
joy,really enjoying tai chi weapon feels flowy elegant
sadness,idea feeling lethargic yesterday probably got bit dehydrated
fear,hasan man makes feel shy retiring modest true english word schadenfreude
fear,im much people watcher voyeur feel kinda weird walking around taking street shots
fear,seeing neurosurgeons document conversations regarding safety patients relationships whether feel threatened
fear,felt kind ick figured nerves feeling anxious
joy,feel privileged real intense time
sadness,crying lot feeling kind depressed
joy,feel would far considerate sensitive approach part employers
anger,get sudden feeling completely annoyed
sadness,feel kinda lame
sadness,finished book feeling gloomy emo personality apparently rubbed
sadness,feeling alone
anger,ive always heard choose one feauture play eyes lips tone feautures love rule feel envious selena soo pretty lovely dark hair great eyes wear wide colour range
sadness,keep forgetting shouldnt matter happens hesitate feel ashamed come back allah get back feet
anger,feel bothered spying
sadness,feel punished
joy,im feeling festive
joy,feel rather superior case
sadness,want make final one feel abused writers faking rupture reader writer relationship
sadness,feel like abused puppy dog
sadness,im feeling really stupid bit panicky phone doctors see straight away
joy,think im entitled feeling little triumphant
joy,ride makes feel peaceful alive
sadness,feel repressed one
joy,returned home feeling determined disturbed disgusted devoted
joy,ran feel glad look probably would freaked happened little later race
joy,officially feeling festive
fear,feel pretty weird blogging deodorant im bit deodorant snob find really hard find good one
sadness,cant help feel burdened
joy,feel blessed call mom dad
joy,tell feeling skid pleasant
joy,dont care churchy cheesy sound right truth feel heart im convinced cant make stuff
anger,control people feel wronged try best fix people cant make happy
joy,feel enough information people like encourage prove university way successful
joy,feel im rather innocent respect
anger,would imagine someone achieved much yet feel desire reach towards greedy hands caretakers give sand hourglass mine
sadness,feel lethargic getting pressure eyes rfttttttttttsjiowefmklldkavsvdsbtwrsbdvfocxfibjxrklrgrmvaeridubneosdvfrwfd okay stressing doesnt help makes worse im trying calm
joy,really know many ill people nowadays glad knowing people similar position people truly get feel wonderful thing
joy,know feel feel place think work less sincere gen xers
anger,worry time ive spending computer feel distracted party
sadness,im actually going try month lot mind june think led feeling bit lethargic fingers crossed ill better time
anger,im still feeling annoyed though
anger,feel irritable well
sadness,stayed letting feel little melancholy
sadness,feeling bit crappy bad two weeks ago
sadness,feel disillusioned hope anything
sadness,tried going raw vegan two weeks made feel awful
anger,feel pissed fact talented creative many others designers
joy,mean feel happiness self worth determined largely others course true
fear,felt like went far feels like world shaken day
sadness,feeling little awkward seeing folks
anger,way behind work fantasy novel feel frustrated
anger,feel selfish self indulgent
sadness,told feeling lethargic tired things like wasting time facebook needed eat blah blah blah
sadness,one toe starting feel kind numb
joy,pairs heeled shoes hardly ever wear love look heels always make feel quite elegant cant bear thought able really relax wear
sadness,feel remorseful ask forgiveness know ive done something wrong
joy,feel generous prizes finalists
joy,feel sweet sense optimism touched anxiety coming days
fear,feel strange putting review post ill keep brief
joy,feel satisfied details small parts
sadness,feel like go run expend idiotic energy iv decided homework instead store energy social event im going evening
sadness,show temper parents feel regretful hurting
anger,listening roommate boasting new clothes
fear,feel like reluctant queen tasked rule nation miscreants exactly like
anger,going cry one point could feel lump throat managed stop distracted thought getting vows right
sadness,feel lousy diagnostician
joy,go fields sometimes feel adventurous usual right woods near home
anger,feel like violent war going stomach
joy,hate feeling useful
sadness,hate feel unhappy emotions
sadness,feel like im punished
fear,feel little skeptical got lose
joy,feel energised invigorated alive
joy,cant tell last time woken feeling like slept well
sadness,love life nathan love shit travis felt hardly anything im sitting feeling doomed would never find someone would give spark
fear,feel like frightened little child anyone could ever know
sadness,allow feel emotional depths sorrow
joy,feel glad
joy,amazing run morning im feeling determined past days
joy,may heighten crucial concerns pertaining expatriates predominantly budgetary also areas always really feel could useful important perhaps fascinating
sadness,feeling deprived traveling june still one weekend getaway planned middle month well free concert every tuesday random outings
sadness,didnt feel cheated deprived
anger,know months still feel envious friends school holidays
sadness,mean exhausting feel bad time
anger,feeling cold wet time
sadness,close friend involved accident passed away instantly gone buy new car asked wait home could see new car
sadness,im feeling discontent comfortable always something working spiritual life
sadness,feel empty
anger,feel another violent daydream coming bet something getting hands saint costume
sadness,ive taking keep feeling lethargic everyday unlike pregnant previous boys
sadness,feel defective
joy,feel god sends us distractions see determined reach goals
anger,know happened might still feel real feel dangerous plan going anywhere time soon
joy,already going feel giggly
joy,im feeling glamorous moment sat least
sadness,feeling defeated super overwhelmed stopped realized demanding season
sadness,taught young deserved got feeling unimportant overemotional attention seeking
sadness,feeling shitty right
joy,ill tell soon im sure well talk purchase without feeling youre way supporting
sadness,guess bottom line feel like damaged goods sure fix even fixable
sadness,sitting feeling defeated
sadness,admit days yell days dont want get bed days cuss freak even days dont even really want talk anyone feel little numb im afraid people know im ok
fear,im excited time feel little nervous
anger,feeling insincere
sadness,know disgusting horrifying feel dirty
fear,want feel shy want fun
anger,feel getting distracted real
joy,know love feel whisper something sincere exactly want hear
sadness,pit stomach feeling disappointed
sadness,feeling quite embarrassed quite wee crowd gathered outside bank
fear,im yet feeling terrified failing honestly feel like im overconfident right believe ive done best
sadness,told feeling unloved underappreciated kids
anger,sometimes feel hated head
joy,feeling heart happy
fear,actually feel frightened people right
anger,feel like throughout life point time say ive fucked quite people
anger,may notice feel aggravated joyful whatever youre feeling
joy,embrace joy others encourage people read blog feel somehow enriched entertained
joy,love author feel ultimately one career jobs fabulous experiences bring lot writing
joy,evening brilliant night fantastic run feeling jolly darn good
fear,feel frightened frustrated wanted go back sleep felt unfinished tasks needed attend edit two articles freud dream irma injection near completion subsequently posted blog
sadness,feel sorry hear story
joy,want help feel special said
anger,hardly feel like weekend dont get fucked
joy,feel divine whenever captured moment smiled silently saving details treasure chest fill memories knew happened lifespan
sadness,im sitting feeling disheartened
sadness,feel like dumb blonde mumbled realizing alli standing right next desperately hoped heard say
sadness,ive feeling ignored
sadness,feel dull around
joy,feel cooler looking gorgeous rooms
joy,kind feel people appreciate sense entertained
joy,dont know next year hold free author promotion feel pretty special part writing community author friends trust precious possessions
joy,feel smart though
joy,came across picture diy twiggy candle holder im feeling festive creative
joy,feel virtuous walked library almost mile away temp
fear,im feeling like tortured teen decided pile neon shizz day
fear,may trust partner look needs relationship feel threatened arent control situation obviously neither
joy,feeling rather smug black toenail virgin despite run little years
joy,feel like less time stuff since got super depressed never wan na much
anger,feeling little bit hostile towards ex today
sadness,feel kind dumb saying upset much strength lost last months
joy,finally got tired feeling like matter smart well educated determined never going get ahead vancouver
sadness,could feel gloomy london fog oppressive tropical heat even though vacation oregon
anger,cant seem hold back comes feeling wish could heartless keep pain away sigh whatever fucking emo live journal
joy,feel safe hearing knowing hows day like
anger,know next time im glass red wine im tossing big ol ice cube im feeling really rebellious may even swirl glass sniff recommend try thing
joy,admit beginning feel pretty smug
anger,feel tortured
anger,couldnt help feel infuriated left building
anger,im feeling really agitated reason think coz im confused
sadness,feeling lousy recently
joy,feel like rockette also feel like im glad
fear,feel uptight love show one thing right
joy,feel world expects one productive individual sunny days resist tend productive rainy days
joy,really enjoyed giving class one knew answers got feel clever day two often get chance play sort things training sessions nice spend time everyone new groups came throughout day
sadness,learnt never talk feelings ive drink gets messy
sadness,know feeling lonely isolated teary states many stand
sadness,feel rejected someone love caused great heartache pain
joy,swear releasing neighbors inner crazy weve cops called block like days week im feeling inspired
joy,feel convinced twins would declare
joy,im feeling determined
joy,feel good choices made terms readings
fear,visited psychologist years ago really took heart said closing letting others know feel uncomfortable etc
anger,im unhappy feel irritated everything yell
sadness,tired feeling lonely yet someone comes along take away feeling run away
joy,im feeling extremely blessed pregnant
sadness,cant blame anything anyone ive spent day feeling miserable crying whenever remember realizing fault
joy,may fighting weak argument feel important people lose ability listen true album
joy,feel divine feminine playing last night also giving heart yet universe divine masculine gods help wake heal
sadness,ought come stipulation feel sorrowful skeered rupees assert field console allusion massou live
sadness,see frustration sadness hear anger puters invasion life pride financial independence feels pretty lame
joy,wanted something different today feeling inside intensely strong
sadness,feel sorrowful dejected words ring head damn affected everything say let go want happy
joy,help feel considerate towards others
joy,feel thankful happy blessed good feelings
anger,go church service youth feel like im hated know im one
joy,mean im actually feeling productive area quilting sewing havent felt lik
sadness,feel ashamed would forget forget us
joy,feel excited cause means get skip classes
joy,im feeling adventurous fiesty stop comparing everyone
anger,really shut lot end pregnancy feeling even irritable anxious maybe need bounce back get back normal
joy,feeling delicious
joy,wondering common girls feel need seem less intelligent really
fear,help feel slightly intimidated
sadness,feel safer didnt horrible panicky feeling like used nightmares old place couldnt get back sleep
joy,definitely feel like spot assured said seem stressed spring training
sadness,feel like need officially address fucking dumb
anger,feel like im making effort cant bothered anymore
fear,feel compassion understand feel insecure
sadness,like sharing twitter feel vain thing
sadness,wasnt feeling willfully broke routine
sadness,honestly feel rejected
sadness,feel making effort see blamed active imagination
joy,feeling good saw flop
anger,feeling particularly hostile shell say red shirt today nickey
sadness,feel lethargic slogging work outs finishing evening popcorn glass pinot gris
anger,feel hated care
sadness,feel less stressed driving hard route passenger
sadness,telling obbie last night feel like terrible christian
fear,feeling little apprehensive traveling emergency issued passport kindly supplied british consulate los angeles week ago
fear,feel really strange without bangs sometimes want cut hair
joy,feel honored books shelves
sadness,feel ungrateful opportunity breathe air many others chances
sadness,infp strong introverted feeling person could say passionately emotional even insignificant things
joy,want make daily thing wash hair every single day hassle someone like super curly hair bit pain straighten walk class feel good
sadness,would even say important far significant feels anything rest ludicrous
joy,love thinking lately feel free comment tell idiot whatever
sadness,watched tears fell really feel heartbroken
joy,know issues questions feelings etc going resolved
joy,must comment believe medications life saving many situations also feel important report full story
anger,feel like need something change vicious cycle good letting cravings drive madness binging
fear,spent game feeling unsure needed mostly feeling completely lost
joy,feel lucky know like revel freedom wide open spaces sea affords
anger,feel like greedy easily pound overweight american
sadness,also feel disappointed mother gertrude
sadness,feel humiliated apartment came family feel stuckin life go hell want present life
anger,im facing consequences little fall yesterday day night yesterday could feel every little muscle back slowly knotting protest unkind treatment received
sadness,knew going look mess feel guilty pushing get taken care
joy,miss feeling like im cute enough considered taken home
sadness,feel lost discombobulated lose drive write
joy,wan na go work feeling bouncy happy
joy,feel sometimes like want say things sure offend
sadness,im feel alone
sadness,full feeling empty
anger,feel wronged back
joy,ive learned depend expect body perform rather keep flexible hope expectation fulfill duties despite feel im thankful people around understanding flexible right along
joy,feel kinda mellow though think time month going turn raging bitch moments last night felt totally angry like cranky really restless
anger,think bit better today although still feel like run truck cough remarkably stubborn particularly try speak
sadness,recognize frequent posters never feel unwelcome thread
joy,went blonde feeling adventurous little lost person
joy,cant stop feeling delighted
fear,finished reading feeling insecure
joy,go blogland bit get thoughts feelings want dream look pretty pictures step back reality
sadness,feel sorry poor guy told leave female passenger accidentally sit area women
sadness,feel like doll abused
sadness,started feeling hopeless regards health
